,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
80,885978.TI,低辐射玻璃（Low-E）,943.387,-0.9714,同花顺概念指数,48,885978
81,885977.TI,国资云,1471.071,0.5949,同花顺概念指数,48,885977
82,885976.TI,数字经济,1292.592,-0.2066,同花顺概念指数,48,885976
83,885975.TI,电子身份证,1297.082,-1.3062,同花顺概念指数,48,885975
84,885974.TI,两轮车,1134.336,-1.3454,同花顺概念指数,48,885974
85,885973.TI,金属铜,871.301,-1.6568,同花顺概念指数,48,885973
86,885972.TI,金属回收,800.654,-1.3875,同花顺概念指数,48,885972
87,885971.TI,金属铅,843.378,-1.3401,同花顺概念指数,48,885971
88,885970.TI,金属锌,873.309,-1.4425,同花顺概念指数,48,885970
89,885969.TI,金属镍,711.777,-1.4057,同花顺概念指数,48,885969
90,885968.TI,托育服务,909.345,-1.0244,同花顺概念指数,48,885968
91,885967.TI,化肥,778.631,-0.623,同花顺概念指数,48,885967
92,885966.TI,跨境支付（CIPS）,1111.365,-0.8918,同花顺概念指数,48,885966
93,885965.TI,中俄贸易概念,1197.563,-0.7934,同花顺概念指数,48,885965
94,885964.TI,俄乌冲突概念,988.063,-0.8927,同花顺概念指数,48,885964
95,885963.TI,智慧灯杆,1176.829,-0.4797,同花顺概念指数,48,885963
96,885962.TI,土壤修复,853.77,-0.7078,同花顺概念指数,48,885962
97,885961.TI,净水概念,901.367,-0.7902,同花顺概念指数,48,885961
98,885960.TI,民爆概念,1131.744,-1.3665,同花顺概念指数,48,885960
99,885959.TI,PCB概念,990.217,-1.941,同花顺概念指数,48,885959
100,885958.TI,硅能源,882.959,-1.3215,同花顺概念指数,48,885958
101,885957.TI,东数西算（算力）,1515.495,-0.7228,同花顺概念指数,48,885957
102,885956.TI,智慧政务,1190.684,0.1063,同花顺概念指数,48,885956
103,885955.TI,重组蛋白,734.759,-0.7082,同花顺概念指数,48,885955
104,885954.TI,新冠治疗,910.842,-0.2015,同花顺概念指数,48,885954
105,885953.TI,电子纸,998.098,-1.9344,同花顺概念指数,48,885953
106,885952.TI,幽门螺杆菌概念,1028.953,-0.0157,同花顺概念指数,48,885952
107,885951.TI,预制菜,1026.829,0.6081,同花顺概念指数,48,885951
108,885950.TI,虚拟数字人,1111.084,0.3005,同花顺概念指数,48,885950
109,885948.TI,柔性直流输电,879.444,-1.6849,同花顺概念指数,48,885948
110,885947.TI,DRG/DIP,1011.561,-0.4302,同花顺概念指数,48,885947
111,885946.TI,传感器,982.656,-1.2829,同花顺概念指数,48,885946
112,885945.TI,汽车芯片,752.587,-2.1621,同花顺概念指数,48,885945
113,885944.TI,动力电池回收,659.739,-1.6356,同花顺概念指数,48,885944
114,885943.TI,EDR概念,950.346,-1.9752,同花顺概念指数,48,885943
115,885942.TI,数据安全,967.695,-0.258,同花顺概念指数,48,885942
116,885941.TI,智能制造,991.586,-1.2824,同花顺概念指数,48,885941
117,885940.TI,WiFi 6,1160.295,-1.9561,同花顺概念指数,48,885940
118,885939.TI,海峡两岸,1161.245,-0.9075,同花顺概念指数,48,885939
119,885938.TI,换电概念,1204.273,-1.556,同花顺概念指数,48,885938
120,885937.TI,培育钻石,843.541,-1.453,同花顺概念指数,48,885937
121,885936.TI,绿色电力,878.854,-0.7379,同花顺概念指数,48,885936
122,885935.TI,抽水蓄能,946.236,-0.9664,同花顺概念指数,48,885935
123,885934.TI,元宇宙,1429.615,-0.2939,同花顺概念指数,48,885934
124,885933.TI,NFT概念,1465.795,0.6096,同花顺概念指数,48,885933
125,885932.TI,北交所概念,1166.73,-0.8847,同花顺概念指数,48,885932
126,885931.TI,PVDF概念,786.816,-1.5695,同花顺概念指数,48,885931
127,885930.TI,工业母机,1105.352,-1.8043,同花顺概念指数,48,885930
128,885929.TI,专精特新,1007.384,-1.1361,同花顺概念指数,48,885929
129,885928.TI,钠离子电池,887.537,-1.7996,同花顺概念指数,48,885928
130,885927.TI,CRO概念,781.25,-2.0633,同花顺概念指数,48,885927
131,885926.TI,牙科医疗,908.503,-1.0303,同花顺概念指数,48,885926
132,885925.TI,MCU芯片,994.095,-2.064,同花顺概念指数,48,885925
133,885924.TI,共同富裕示范区,1100.843,-0.612,同花顺概念指数,48,885924
134,885923.TI,鸿蒙概念,1458.949,-1.6822,同花顺概念指数,48,885923
135,885922.TI,盐湖提锂,1245.332,-1.425,同花顺概念指数,48,885922
136,885921.TI,储能,1618.244,-1.3675,同花顺概念指数,48,885921
137,885920.TI,光伏建筑一体化,1357.434,-0.5563,同花顺概念指数,48,885920
