,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
354,885487.TI,天津自贸区,1091.015,-1.3549,同花顺概念指数,48,885487
355,885480.TI,在线教育,2534.62,-0.3336,同花顺概念指数,48,885480
356,885478.TI,智能家居,2745.58,-1.2198,同花顺概念指数,48,885478
357,885472.TI,上海自贸区,3193.019,-0.5831,同花顺概念指数,48,885472
358,885467.TI,特斯拉,3404.877,-1.9079,同花顺概念指数,48,885467
359,885462.TI,乳业,2000.532,0.6823,同花顺概念指数,48,885462
360,885461.TI,充电桩,4198.819,-1.7099,同花顺概念指数,48,885461
361,885459.TI,网络安全,4365.63,-0.8074,同花顺概念指数,48,885459
362,885457.TI,手机游戏,2389.226,0.2257,同花顺概念指数,48,885457
363,885456.TI,互联网金融,4411.845,-0.5041,同花顺概念指数,48,885456
364,885454.TI,智能穿戴,2694.268,-1.1265,同花顺概念指数,48,885454
365,885452.TI,大数据,3016.263,-0.0807,同花顺概念指数,48,885452
366,885439.TI,土地流转,1950.269,0.1551,同花顺概念指数,48,885439
367,885433.TI,节能照明,3614.403,-1.3193,同花顺概念指数,48,885433
368,885431.TI,新能源汽车,2826.202,-1.8059,同花顺概念指数,48,885431
369,885430.TI,天然气,1150.11,-0.8835,同花顺概念指数,48,885430
370,885428.TI,特钢概念,2733.722,-1.4185,同花顺概念指数,48,885428
371,885427.TI,高端装备,2083.062,-1.6864,同花顺概念指数,48,885427
372,885426.TI,海工装备,1867.841,-1.4196,同花顺概念指数,48,885426
373,885425.TI,特高压,2645.835,-1.4545,同花顺概念指数,48,885425
374,885423.TI,安防,3447.001,-0.7678,同花顺概念指数,48,885423
375,885420.TI,电子商务,2974.914,-0.3745,同花顺概念指数,48,885420
376,885418.TI,文化传媒,2432.921,1.0879,同花顺概念指数,48,885418
377,885413.TI,创投,2579.803,-0.6682,同花顺概念指数,48,885413
378,885412.TI,污水处理,1395.701,-0.7039,同花顺概念指数,48,885412
379,885410.TI,固废处理,1626.076,-0.8845,同花顺概念指数,48,885410
380,885406.TI,食品安全,3672.681,-1.1226,同花顺概念指数,48,885406
381,885403.TI,生物医药,2492.8,-0.4893,同花顺概念指数,48,885403
382,885402.TI,智能医疗,3662.572,-0.5313,同花顺概念指数,48,885402
383,885398.TI,煤化工,1980.158,-0.4033,同花顺概念指数,48,885398
384,885386.TI,建筑节能,1145.079,-0.9139,同花顺概念指数,48,885386
385,885378.TI,智慧城市,3450.612,-0.3832,同花顺概念指数,48,885378
386,885376.TI,苹果概念,2906.025,-1.7142,同花顺概念指数,48,885376
387,885372.TI,页岩气,1853.804,-0.7674,同花顺概念指数,48,885372
388,885362.TI,云计算,3113.533,-0.8187,同花顺概念指数,48,885362
389,885355.TI,石墨烯,1128.093,-1.113,同花顺概念指数,48,885355
390,885345.TI,新疆振兴,865.9,-0.7895,同花顺概念指数,48,885345
391,885343.TI,稀土永磁,1904.96,-1.2017,同花顺概念指数,48,885343
392,885338.TI,融资融券,1206.27,-0.2652,同花顺概念指数,48,885338
393,885333.TI,移动支付,1901.884,-1.2836,同花顺概念指数,48,885333
394,885312.TI,物联网,2151.785,-1.3285,同花顺概念指数,48,885312
395,885311.TI,智能电网,2414.229,-1.2206,同花顺概念指数,48,885311
396,885284.TI,稀缺资源,1191.018,-1.5637,同花顺概念指数,48,885284
