id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4976332637733871	,Nw1L9wrVR,"发布了头条文章：《好与坏。利弗莫尔：12.7复盘记录》  
好与坏。利弗莫尔：12.7复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404976332634456941'],,,,2023-12-07T15:20:19,微博 weibo.com,28,6,0,,,2023-12-07 15:20:19
4976032113232927	,NvTWrdz1Z,"发布了头条文章：《低估值——静心观市231206》  
低估值——静心观市231206
 ",['https://weibo.com/ttarticle/p/show?id=2309404976032116506675'],,,,2023-12-06T19:26:09,微博 weibo.com,4,1,0,,,2023-12-06 19:26:09
4975966391373674	,NvSer5Lm2,"发布了头条文章：《权重。利弗莫尔：12.6复盘记录》  
权重。利弗莫尔：12.6复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404975966392025617'],,,,2023-12-06T15:04:59,微博 weibo.com,19,3,1,,,2023-12-06 15:04:59
4975673627646281	,NvKCew597,"发布了头条文章：《预备——静心观市231205》  
预备——静心观市231205
 ",['https://weibo.com/ttarticle/p/show?id=2309404975673629606447'],,,,2023-12-05T19:41:39,微博 weibo.com,3,0,0,,,2023-12-05 19:41:39
4975603182731571	,NvIMCbsBB,"发布了头条文章：《3000。利弗莫尔：12.5复盘记录》 #沪指再失守3000点#  
3000。利弗莫尔：12.5复盘记录
 ","['https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B2%AA%E6%8C%87%E5%86%8D%E5%A4%B1%E5%AE%883000%E7%82%B9%23&extparam=%23%E6%B2%AA%E6%8C%87%E5%86%8D%E5%A4%B1%E5%AE%883000%E7%82%B9%23', 'https://weibo.com/ttarticle/p/show?id=2309404975603181813885']",,,,2023-12-05T15:01:43,微博 weibo.com,29,6,0,沪指再失守3000点,,2023-12-05 15:01:43
4975318363014889	,NvBnecEjf,"发布了头条文章：《操作——静心观市231204》  
操作——静心观市231204
 ",['https://weibo.com/ttarticle/p/show?id=2309404975318359475361'],,,,2023-12-04T20:09:57,微博 weibo.com,2,0,0,,,2023-12-04 20:09:57
4975247711536995	,Nvzxh6rQf,"发布了头条文章：《雷声大雨点小。利弗莫尔：12.4复盘记录》  
雷声大雨点小。利弗莫尔：12.4复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404975247714812027'],,,,2023-12-04T15:29:13,微博 weibo.com,23,7,0,,,2023-12-04 15:29:13
4974208792395897	,Nv8vBa3hv,"发布了头条文章：《12月——静心观市231201》  
12月——静心观市231201
 ",['https://weibo.com/ttarticle/p/show?id=2309404974208789906147'],,,,2023-12-01T18:40:54,微博 weibo.com,5,0,0,,,2023-12-01 18:40:54
4974160604824795	,Nv7fSkf9h,"发布了头条文章：《中。利弗莫尔：12.1复盘记录》  
中。利弗莫尔：12.1复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404974160601547393'],,,,2023-12-01T15:29:26,微博 weibo.com,17,5,0,,,2023-12-01 15:29:26
4973791068817731	,NuXDQAZTt,"发布了头条文章：《后悔。利弗莫尔：11.30复盘记录》  
后悔。利弗莫尔：11.30复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404973791070781967'],,,,2023-11-30T15:01:02,微博 weibo.com,23,6,0,,,2023-11-30 15:01:02
4973500660711812	,NuQ5s2ZaQ,"发布了头条文章：《耐心——静心观市231129》  
耐心——静心观市231129
 ",['https://weibo.com/ttarticle/p/show?id=2309404973500657173129'],,,,2023-11-29T19:47:02,微博 weibo.com,6,0,0,,,2023-11-29 19:47:02
4973428542803137	,NuOd8bLdT,"发布了头条文章：《又到了。利弗莫尔：11.29复盘记录》  
又到了。利弗莫尔：11.29复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404973428544504095'],,,,2023-11-29T15:00:29,微博 weibo.com,25,7,0,,,2023-11-29 15:00:29
4972768832524222	,Nux35aAFg,"发布了头条文章：《弱势——静心观市231127》  
弱势——静心观市231127
 ",['https://weibo.com/ttarticle/p/show?id=2309404972768835010855'],,,,2023-11-27T19:19:02,微博 weibo.com,9,0,0,,,2023-11-27 19:19:02
4972703712545380	,Nuvm3aGaw,"发布了头条文章：《弱势。利弗莫尔：11.27复盘记录》  
弱势。利弗莫尔：11.27复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404972703710053251'],,,,2023-11-27T15:00:16,微博 weibo.com,25,3,0,,,2023-11-27 15:00:16
4972409224696580	,NunH4jHNi,"发布了头条文章：《弱势——静心观市231126》  
弱势——静心观市231126
 ",['https://weibo.com/ttarticle/p/show?id=2309404972409227968827'],,,,2023-11-26T19:30:05,微博 weibo.com,6,0,0,,,2023-11-26 19:30:05
4971319406892736	,NtVlisV7a,"发布了头条文章：《无——静心观市231123》  
无——静心观市231123
 ",['https://weibo.com/ttarticle/p/show?id=2309404971319409377363'],,,,2023-11-23T19:19:32,微博 weibo.com,5,0,0,,,2023-11-23 19:19:32
4971254848160643	,NtTFayeXh,"发布了头条文章：《相反。利弗莫尔：11.23复盘记录》  
相反。利弗莫尔：11.23复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404971254846456349'],,,,2023-11-23T15:03:00,微博 weibo.com,25,5,1,,,2023-11-23 15:03:00
4970955131849698	,NtLRL7LbQ,"发布了头条文章：《无——静心观市231122》  
无——静心观市231122
 ",['https://weibo.com/ttarticle/p/show?id=2309404970955134074999'],,,,2023-11-22T19:12:02,微博 weibo.com,3,0,0,,,2023-11-22 19:12:02
4970897208509635	,NtKmkzHKb,"发布了头条文章：《临界点。利弗莫尔：11.22复盘记录》  
临界点。利弗莫尔：11.22复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404970897206280298'],,,,2023-11-22T15:21:52,微博 weibo.com,23,4,0,,,2023-11-22 15:21:52
4970621504324731	,NtDbEi93J,"发布了头条文章：《乱——静心观市231121》  
乱——静心观市231121
 ",['https://weibo.com/ttarticle/p/show?id=2309404970621502095488'],,,,2023-11-21T21:06:18,微博 weibo.com,11,0,0,,,2023-11-21 21:06:18
4970539081013499	,NtB2I4fEL,"发布了头条文章：《问题。利弗莫尔：11.21复盘记录》  
问题。利弗莫尔：11.21复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404970539084284235'],,,,2023-11-21T15:38:48,微博 weibo.com,25,4,0,,,2023-11-21 15:38:48
4970275016019269	,NtuaNpfSZ,"发布了头条文章：《预期——静心观市231120》  
预期——静心观市231120
 ",['https://weibo.com/ttarticle/p/show?id=2309404970275019292721'],,,,2023-11-20T22:09:30,微博 weibo.com,9,0,1,,,2023-11-20 22:09:30
4970177794147901	,NtrDZhp3D,"发布了头条文章：《难评。利弗莫尔：11.20复盘记录》  
难评。利弗莫尔：11.20复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404970177795326031'],,,,2023-11-20T15:43:10,微博 weibo.com,25,7,0,,,2023-11-20 15:43:10
4970101237615923	,NtpEvvXft,"V+福利最后一天！现在订阅我的V+即可获得抽奖资格，100%中奖，最高可中888元红包~月费年费均可抽奖，抽奖次数上不封顶！数量不多，欲购从速>> 
成为TA的V+会员
  抽奖指引
财经VPlus下单100%中奖
 ",,,,,2023-11-20T10:38:58,财经内容创作者,0,0,0,,,2023-11-20 10:38:58
4968779541909025	,NsRgK80CJ,"发布了头条文章：《节奏——静心观市231116》  
节奏——静心观市231116
 ",['https://weibo.com/ttarticle/p/show?id=2309404968779544395824'],,,,2023-11-16T19:07:01,微博 weibo.com,10,0,0,,,2023-11-16 19:07:01
4968719887370120	,NsPIwuViU,"发布了头条文章：《预期。利弗莫尔：11.16复盘记录》  
预期。利弗莫尔：11.16复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404968719888810141'],,,,2023-11-16T15:09:58,微博 weibo.com,22,3,0,,,2023-11-16 15:09:58
4968062518560614	,NsyCfzV0q,"发布了头条文章：《关键——静心观市231114》  
关键——静心观市231114
 ",['https://weibo.com/ttarticle/p/show?id=2309404968062519738389'],,,,2023-11-14T19:37:49,微博 weibo.com,9,0,0,,,2023-11-14 19:37:49
4967998186588880	,NswWurE4g,"发布了头条文章：《仓位。利弗莫尔：11.14复盘记录》  
仓位。利弗莫尔：11.14复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404967998187504095'],,,,2023-11-14T15:22:11,微博 weibo.com,23,5,0,,,2023-11-14 15:22:11
4967690840048230	,NsoWM0cxU,"发布了头条文章：《时间点——静心观市231113》  
时间点——静心观市231113
 ",['https://weibo.com/ttarticle/p/show?id=2309404967690837296209'],,,,2023-11-13T19:00:54,微博 weibo.com,10,0,0,,,2023-11-13 19:00:54
4967635779323267	,NsnvXD7ph,"发布了头条文章：《慢一步。利弗莫尔：11.13复盘记录》  
慢一步。利弗莫尔：11.13复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404967635782860835'],,,,2023-11-13T15:22:07,微博 weibo.com,19,3,0,,,2023-11-13 15:22:07
4966543644167322	,NrV6shu6S,"发布了头条文章：《无。利弗莫尔：11.10复盘记录》  
无。利弗莫尔：11.10复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404966543644819508'],,,,2023-11-10T15:02:21,微博 weibo.com,24,5,0,,,2023-11-10 15:02:21
4966267955709375	,NrNVNnXgH,"发布了头条文章：《预期内——静心观市231109》  
预期内——静心观市231109
 ",['https://weibo.com/ttarticle/p/show?id=2309404966267953218361'],,,,2023-11-09T20:46:52,微博 weibo.com,5,1,0,,,2023-11-09 20:46:52
4966182117706309	,NrLHlwkLj,"发布了头条文章：《热。利弗莫尔：11.9复盘记录》  
热。利弗莫尔：11.9复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404966182120718544'],,,,2023-11-09T15:05:47,微博 weibo.com,26,6,0,,,2023-11-09 15:05:47
