date,title,link
20240120 21:27:28,【闲聊】11月增持美债；巴基斯坦和伊朗已恢复外交关系；中美金融工作组在北京的会议已结束；,http://mp.weixin.qq.com/s?__biz=MzI5NzU0NjIxMQ==&mid=2247510266&idx=1&sn=0dc55075443b79130bd7a27a3a747192&chksm=ecb19076dbc6196066e8868f75253750c57396e83ac280f9199643c3e1868996e1356a8ee968#rd
20240119 21:16:22,雪球产品跟A股下跌有什么关系？,http://mp.weixin.qq.com/s?__biz=MzI5NzU0NjIxMQ==&mid=2247510257&idx=1&sn=e11a05bebd1585042dae4e0f3a672702&chksm=ecb1907ddbc6196b0db562f324e5ec914802254bd65a3218c61bb15c43aaf3c9ad92dbe32c2e#rd
20240118 18:56:37,红海局势、马斯克、美国资本派系再梳理,http://mp.weixin.qq.com/s?__biz=MzI5NzU0NjIxMQ==&mid=2247510249&idx=1&sn=db1cdb772e80f48d255ef762c0f26b2d&chksm=ecb19065dbc61973e3dbe7e2c4bcecd11a7c4b73fafe9df555f4b58f29cc9c8e9049a84fb319#rd
20240117 21:50:23,2024全球金融市场展望：日本加息、美联储降息、A股将出现历史大底,http://mp.weixin.qq.com/s?__biz=MzI5NzU0NjIxMQ==&mid=2247510243&idx=1&sn=3a10110d513a0c7dd64e80534f8bd604&chksm=ecb1906fdbc61979881a8c1c62184ad48e618378d629eb4c29204fe306bbfb010d71fb44a87c#rd
20240116 18:55:32,【闲聊】半岛局势；日经ETF溢价率一度超过23%；胡塞武装袭击美国货船和军舰；,http://mp.weixin.qq.com/s?__biz=MzI5NzU0NjIxMQ==&mid=2247510229&idx=1&sn=9295a330e39e4af37de5b407525fd1f8&chksm=ecb19059dbc6194f7056f9e735707113cac24fd050590a391bc70cca30ab6df08b2ef3f0e0d5#rd
