用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
6465139142,利弗莫尔2018,m,,,,,,,248,27000,7,股市小韭菜,https://m.weibo.cn/u/6465139142?,"https://tvax4.sinaimg.cn/crop.27.0.300.300.180/0073x41Mly8fp293pzc0xj309w08cmx5.jpg?KID=imgbed,tva&Expires=1704862891&ssig=T9QSxR3g4d",https://wx4.sinaimg.cn/orj480/0073x41Mly8fp293pzc0xj309w08cmx5.jpg,4,2,True,0,财经博主 头条文章作者,
5828706619,狂龙十八段,m,,,,,,,4238,923000,115,简单炒股，快乐生活，资金流派，极致打法,https://m.weibo.cn/u/5828706619?,"https://tva2.sinaimg.cn/crop.0.0.179.179.180/006msER5gw1f25exzhnpuj3050050aab.jpg?KID=imgbed,tva&Expires=1704862944&ssig=WRh%2BdPb4ma",https://ww2.sinaimg.cn/orj480/006msER5gw1f25exzhnpuj3050050aab.jpg,38,2,True,0,财经博主 头条文章作者,
